Date,AverageHumidity,MinimumHumidity,TotalSunHours,SunshineDurationRate,TotalSolarRadiation,AvgTemp,MaxTemp,MaxTempTime,MinTemp,MinTempTime,TempRange
2023-06-01,66.9,56.0,2.2,15.1,15.18,22.8,26.3,17:07,19.7,05:28,6.6
2023-06-02,77.4,59.0,5.2,35.6,14.24,20.4,25.0,16:48,17.9,06:01,7.1
2023-06-03,60.1,31.0,13.3,91.1,31.19,22.0,27.8,14:23,16.6,06:07,11.2
2023-06-04,61.0,28.0,11.1,76.0,28.74,22.1,28.0,16:27,16.9,05:37,11.1
2023-06-05,66.9,47.0,10.9,74.7,26.6,21.5,26.3,15:32,17.6,05:32,8.7
2023-06-06,72.9,50.0,7.9,53.7,21.98,20.3,25.2,13:35,17.3,05:37,7.9
2023-06-07,75.3,63.0,1.0,6.8,10.07,21.4,25.7,17:23,18.9,03:32,6.8
2023-06-08,80.5,65.0,0.9,6.1,10.19,20.4,23.9,16:13,18.3,23:39,5.6
2023-06-09,64.0,32.0,11.8,80.3,28.15,23.3,28.4,16:46,18.3,05:24,10.1
2023-06-10,70.0,48.0,5.6,38.1,18.18,23.2,28.5,12:48,19.6,23:32,8.9
2023-06-11,76.1,53.0,6.4,43.5,21.1,22.1,27.3,17:10,17.9,04:22,9.4
2023-06-12,70.5,47.0,6.7,45.6,19.9,22.2,27.5,13:53,18.4,06:10,9.1
2023-06-13,70.0,50.0,9.9,67.3,25.43,22.0,26.0,13:13,19.2,05:56,6.8
2023-06-14,80.3,53.0,4.2,28.4,13.12,20.6,25.0,12:58,17.5,05:08,7.5
2023-06-15,70.8,50.0,8.8,59.5,25.05,22.7,28.3,15:16,17.7,05:45,10.6
2023-06-16,64.4,45.0,12.5,84.5,29.89,23.7,28.9,15:35,19.1,05:01,9.8
2023-06-17,57.1,39.0,10.8,73.0,27.4,24.2,30.2,15:15,18.9,05:40,11.3
2023-06-18,60.5,43.0,12.3,83.1,28.79,25.9,32.6,16:36,20.8,05:18,11.8
2023-06-19,57.8,42.0,11.0,74.3,25.29,28.5,34.0,14:55,23.3,03:53,10.7
2023-06-20,64.5,51.0,0.0,0.0,5.89,24.7,26.4,10:40,21.4,23:56,5.0
2023-06-21,92.6,83.0,0.0,0.0,4.79,20.5,22.1,15:22,19.2,03:44,2.9
2023-06-22,77.1,61.0,6.9,46.6,21.48,22.5,26.4,15:29,18.9,05:24,7.5
2023-06-23,76.6,50.0,5.3,35.8,18.74,24.4,29.9,16:50,20.0,03:09,9.9
2023-06-24,70.5,55.0,9.7,65.5,21.93,26.4,31.1,15:40,21.9,05:14,9.2
2023-06-25,64.9,47.0,8.7,58.8,23.62,28.2,33.1,15:29,22.8,05:45,10.3
2023-06-26,88.6,59.0,0.0,0.0,3.39,24.2,27.5,00:01,22.3,06:06,5.2
2023-06-27,73.1,51.0,6.8,45.9,20.95,25.3,29.1,16:57,21.4,05:25,7.7
2023-06-28,77.4,60.0,3.8,25.7,18.56,26.5,30.1,14:53,24.2,04:47,5.9
2023-06-29,95.4,85.0,0.0,0.0,2.31,24.2,25.9,00:07,23.2,23:43,2.7
2023-06-30,89.8,72.0,1.4,9.5,10.02,25.3,29.1,16:03,23.2,00:01,5.9
2023-07-01,76.9,58.0,12.4,84.4,29.21,27.7,32.9,14:59,23.3,03:21,9.6
2023-07-02,79.5,64.0,4.3,29.3,19.16,26.7,30.6,16:17,23.5,05:43,7.1
2023-07-03,72.0,40.0,8.8,59.9,25.34,29.1,34.9,16:16,24.1,05:24,10.8
2023-07-04,86.8,68.0,0.0,0.0,6.08,26.1,29.2,12:39,24.5,20:04,4.7
2023-07-05,82.6,68.0,4.5,30.6,19.96,24.5,27.1,13:08,22.1,06:48,5.0
2023-07-06,70.9,56.0,8.8,59.9,25.47,27.3,31.8,14:35,22.4,05:45,9.4
2023-07-07,64.9,46.0,8.7,59.2,23.96,26.7,31.4,14:47,23.3,23:45,8.1
2023-07-08,76.5,64.0,1.6,11.0,13.93,25.6,29.7,15:41,22.4,03:46,7.3
2023-07-09,86.4,78.0,1.1,7.5,8.07,24.7,27.0,08:49,21.6,12:08,5.4
2023-07-10,80.4,58.0,5.9,40.4,18.41,26.3,30.9,15:18,22.9,06:26,8.0
2023-07-11,92.4,79.0,0.0,0.0,2.21,23.5,25.9,08:07,21.6,17:33,4.3
2023-07-12,86.4,72.0,1.2,8.2,12.34,25.8,29.1,15:52,22.0,00:01,7.1
2023-07-13,95.0,84.0,0.0,0.0,2.63,25.2,26.5,09:43,24.7,12:15,1.8
2023-07-14,99.1,96.0,0.0,0.0,1.52,24.6,25.1,10:26,23.9,02:06,1.2
2023-07-15,93.5,85.0,0.0,0.0,3.16,24.5,25.7,12:11,23.7,23:58,2.0
2023-07-16,89.5,80.0,0.0,0.0,5.31,24.6,25.4,17:45,23.7,00:01,1.7
2023-07-17,86.1,76.0,0.4,2.8,10.78,25.5,27.8,14:37,23.7,04:46,4.1
2023-07-18,87.9,75.0,2.0,13.8,7.94,25.2,27.7,17:21,24.1,05:27,3.6
2023-07-19,78.8,55.0,11.5,79.9,26.41,27.2,32.4,16:29,22.5,05:27,9.9
2023-07-20,74.0,51.0,9.9,68.8,24.17,27.9,32.8,15:47,24.0,05:49,8.8
2023-07-21,69.6,48.0,10.2,70.8,23.64,29.5,34.3,16:28,24.6,05:54,9.7
2023-07-22,73.9,51.0,6.4,44.4,17.66,27.7,32.5,12:27,24.6,21:42,7.9
2023-07-23,94.3,87.0,0.0,0.0,2.37,25.2,25.8,15:15,24.5,07:52,1.3
