BranchNum,BranchName,Date,Rainfall,HourMaxRainfall,HourMaxTime
108,서울,2014-06-01,,,
108,서울,2014-06-02,2.0,0.9,11:41
108,서울,2014-06-03,33.0,6.0,05:32
108,서울,2014-06-04,,,
108,서울,2014-06-05,,,
108,서울,2014-06-06,,,
108,서울,2014-06-07,,,
108,서울,2014-06-08,,,
108,서울,2014-06-09,,,
108,서울,2014-06-10,5.5,2.5,16:16
108,서울,2014-06-11,19.0,14.0,15:29
108,서울,2014-06-12,0.1,0.1,
108,서울,2014-06-13,0.0,0.0,
108,서울,2014-06-14,,,
108,서울,2014-06-15,,,
108,서울,2014-06-16,,,
108,서울,2014-06-17,3.5,3.5,19:55
108,서울,2014-06-18,0.1,0.1,
108,서울,2014-06-19,0.0,0.0,
108,서울,2014-06-20,1.5,1.0,21:10
108,서울,2014-06-21,8.5,5.5,19:03
108,서울,2014-06-22,0.4,0.4,19:57
108,서울,2014-06-23,24.5,14.5,15:40
108,서울,2014-06-24,,,
108,서울,2014-06-25,,,
108,서울,2014-06-26,,,
108,서울,2014-06-27,,,
108,서울,2014-06-28,0.0,0.0,
108,서울,2014-06-29,,,
108,서울,2014-06-30,,,
108,서울,2014-07-01,,,
108,서울,2014-07-02,20.5,18.0,21:50
108,서울,2014-07-03,2.0,1.0,11:05
108,서울,2014-07-04,,,
108,서울,2014-07-05,,,
108,서울,2014-07-06,,,
108,서울,2014-07-07,,,
108,서울,2014-07-08,0.2,0.2,
108,서울,2014-07-09,0.5,0.4,14:44
108,서울,2014-07-10,,,
108,서울,2014-07-11,,,
108,서울,2014-07-12,,,
108,서울,2014-07-13,,,
108,서울,2014-07-14,,,
108,서울,2014-07-15,,,
108,서울,2014-07-16,,,
108,서울,2014-07-17,0.2,0.2,
108,서울,2014-07-18,1.5,1.5,04:43
108,서울,2014-07-19,,,
108,서울,2014-07-20,,,
108,서울,2014-07-21,,,
108,서울,2014-07-22,16.5,15.5,18:41
108,서울,2014-07-23,55.0,21.5,03:06
108,서울,2014-07-24,48.0,10.5,06:09
108,서울,2014-07-25,59.5,34.5,01:14
108,서울,2014-07-26,2.5,0.6,03:54
108,서울,2014-07-27,,,
108,서울,2014-07-28,,,
108,서울,2014-07-29,,,
108,서울,2014-07-30,,,
