BranchNum,BranchName,Date,TotalSunHours,SunshineDurationRate,TotalSolarRadiation
108,서울,2023-06-01,2.2,15.1,15.18
108,서울,2023-06-02,5.2,35.6,14.24
108,서울,2023-06-03,13.3,91.1,31.19
108,서울,2023-06-04,11.1,76,28.74
108,서울,2023-06-05,10.9,74.7,26.6
108,서울,2023-06-06,7.9,53.7,21.98
108,서울,2023-06-07,1,6.8,10.07
108,서울,2023-06-08,0.9,6.1,10.19
108,서울,2023-06-09,11.8,80.3,28.15
108,서울,2023-06-10,5.6,38.1,18.18
108,서울,2023-06-11,6.4,43.5,21.1
108,서울,2023-06-12,6.7,45.6,19.9
108,서울,2023-06-13,9.9,67.3,25.43
108,서울,2023-06-14,4.2,28.4,13.12
108,서울,2023-06-15,8.8,59.5,25.05
108,서울,2023-06-16,12.5,84.5,29.89
108,서울,2023-06-17,10.8,73,27.4
108,서울,2023-06-18,12.3,83.1,28.79
108,서울,2023-06-19,11,74.3,25.29
108,서울,2023-06-20,0,0,5.89
108,서울,2023-06-21,0,0,4.79
108,서울,2023-06-22,6.9,46.6,21.48
108,서울,2023-06-23,5.3,35.8,18.74
108,서울,2023-06-24,9.7,65.5,21.93
108,서울,2023-06-25,8.7,58.8,23.62
108,서울,2023-06-26,0,0,3.39
108,서울,2023-06-27,6.8,45.9,20.95
108,서울,2023-06-28,3.8,25.7,18.56
108,서울,2023-06-29,0,0,2.31
108,서울,2023-06-30,1.4,9.5,10.02
108,서울,2023-07-01,12.4,84.4,29.21
108,서울,2023-07-02,4.3,29.3,19.16
108,서울,2023-07-03,8.8,59.9,25.34
108,서울,2023-07-04,0,0,6.08
108,서울,2023-07-05,4.5,30.6,19.96
108,서울,2023-07-06,8.8,59.9,25.47
108,서울,2023-07-07,8.7,59.2,23.96
108,서울,2023-07-08,1.6,11,13.93
108,서울,2023-07-09,1.1,7.5,8.07
108,서울,2023-07-10,5.9,40.4,18.41
108,서울,2023-07-11,0,0,2.21
108,서울,2023-07-12,1.2,8.2,12.34
108,서울,2023-07-13,0,0,2.63
108,서울,2023-07-14,0,0,1.52
108,서울,2023-07-15,0,0,3.16
108,서울,2023-07-16,0,0,5.31
108,서울,2023-07-17,0.4,2.8,10.78
108,서울,2023-07-18,2,13.8,7.94
108,서울,2023-07-19,11.5,79.9,26.41
